project_id,date,sha,commit_msg,N,M,too_small,D1_csi,D1_n_comm,D2_max_gini,D3_alg_conn,D3_norm_gap,D3_fiedler_bim,D4_cycle_rank_norm,n_components,giant_component_frac,isolated_frac,n_staging,n_intermediate,n_mart,n_unclassified,n_sql_files,n_dbt_projects,M_strict,M_recovered_by_permissive,nodes_touched_by_recovered,edges_dropped_as_commented_out,n_documented,n_tested,n_yaml_files,doc_rate,test_rate
dbt-labs__dbt-project-evaluator,2022-01-31T11:35:25,c57b9dc0c0cd1b0b6e9e9c9b6289e1bcc2e06aec,"Changed ""description"" field to a boolean",23,17,False,0.7857142857142857,2,0.7058823529411765,0.35715978748872595,0.05039358305961581,0.48398682585710184,0.043478260869565216,7,0.391304,0.173913,9,3,8,3,23,1,17,0,0,1,13,12,6,0.565217,0.521739
dbt-labs__dbt-project-evaluator,2022-03-07T17:59:24,10c417412c20798c1a0455e7f4982ed552adcb1b,Create new DAG tests and add examples,22,20,False,0.6428571428571429,2,0.7818181818181819,0.2953171629262849,0.03639509667452222,0.5243253274098936,0.0,2,0.5,0.0,8,2,12,0,22,1,16,4,5,0,12,11,4,0.545455,0.5
dbt-labs__dbt-project-evaluator,2022-04-04T17:47:12,1f845ef2618ca5b205d93862423d62056ebe742f,Merge pull request #64 from dbt-labs/fix/update-grain-of-multiple_sources_joined,23,22,False,0.7142857142857143,3,0.8023715415019763,0.07819297283316307,0.006510036499400368,0.6297262943422496,0.0,1,1.0,0.0,8,2,13,0,23,1,18,4,5,0,13,12,5,0.565217,0.521739
dbt-labs__dbt-project-evaluator,2022-05-06T10:02:48,f176f717c150acc4a3f5c6af5d0280174c999c65,Make the calculation work cross DW,26,26,False,0.7857142857142857,3,0.7810650887573964,0.07214506712007959,0.005953720275202696,0.6742603219429276,0.038461538461538464,1,1.0,0.0,10,2,14,0,26,1,22,4,5,0,14,13,5,0.538462,0.5
dbt-labs__dbt-project-evaluator,2022-05-31T16:19:34,a7cd3cabc51ed02818c8360d8957837e9b78f29a,Merge branch 'main' into fix/readme_table_of_contents,28,30,False,0.7857142857142857,4,0.780952380952381,0.0835106134581363,0.0059509464156312355,0.706748461218232,0.10714285714285714,1,1.0,0.0,9,3,16,0,28,1,26,4,5,0,16,16,6,0.571429,0.571429
dbt-labs__dbt-project-evaluator,2022-07-06T09:46:20,f801942682ca93d22a4f08acd76c6cce0a850558,Added owner_name and owner_email fields to stg_exposures and int_all_graph_resources,29,31,False,0.7857142857142857,3,0.7942157953281423,0.07971761457581214,0.005679483903186157,0.7072129521912208,0.10344827586206896,1,1.0,0.0,9,3,17,0,29,1,27,4,5,0,17,17,7,0.586207,0.586207
dbt-labs__dbt-project-evaluator,2022-08-04T18:01:42,e6c2ff9423d37a3f04c6e0ff20df55edb16f7a8a,Fix integration tests on databricks,30,32,False,0.7857142857142857,3,0.80625,0.07647841371744665,0.00542422910899573,0.7096774727047401,0.1,1,1.0,0.0,9,3,18,0,30,1,28,4,5,0,18,18,7,0.6,0.6
dbt-labs__dbt-project-evaluator,2022-08-15T14:18:20,3ff7f50b7ac69a84ec2cef737cb00016e6aac208,Merge pull request #183 from dbt-labs/fix/alt-multi-ref,30,32,False,0.7857142857142857,3,0.80625,0.07647841371744665,0.00542422910899573,0.709677471806921,0.1,1,1.0,0.0,9,3,18,0,30,1,28,4,5,0,18,18,7,0.6,0.6
dbt-labs__dbt-project-evaluator,2022-09-29T23:31:12,1801aff13dc70ec5b966826cd8e8d24d8ed05558,Fix temp code,30,32,False,0.7857142857142857,3,0.80625,0.07647841371744665,0.00542422910899573,0.7096774864048286,0.1,1,1.0,0.0,9,3,18,0,30,1,28,4,5,0,18,18,7,0.6,0.6
dbt-labs__dbt-project-evaluator,2022-12-02T16:23:45,68bef71b1fdead97837fb609e568703d0d0b2fd4,working prototype for unpack via create and insert,30,32,False,0.7857142857142857,3,0.80625,0.07647841371744665,0.00542422910899573,0.7096776025822368,0.1,1,1.0,0.0,9,3,18,0,30,1,28,4,5,0,18,18,7,0.6,0.6
